epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3518.93,1.44296,2.62554,1.54339,0.39165,0.20566,0.12294,0.06186,1.50323,17.5772,1.64148,0.000415937,0.000415937,0.000415937
2,9159.13,1.50097,1.67565,1.60386,0.19889,0.33713,0.151,0.07898,1.47106,15.2276,1.5828,0.000750176,0.000750176,0.000750176
3,14030.9,1.49042,1.45236,1.58764,0.43116,0.29904,0.17166,0.09441,1.4201,8.09054,1.51755,0.00100191,0.00100191,0.00100191
4,17540.1,1.43647,1.28916,1.54191,0.43237,0.34526,0.18585,0.10626,1.40728,9.6045,1.52204,0.00087875,0.00087875,0.00087875
5,20789.8,1.37453,1.13571,1.49069,0.21295,0.42681,0.17534,0.10547,1.30626,11.7414,1.44634,0.000755,0.000755,0.000755
6,23989.6,1.31503,1.0335,1.44681,0.24269,0.42869,0.19728,0.11982,1.30015,8.72226,1.4237,0.00063125,0.00063125,0.00063125
7,27387,1.25678,0.94163,1.39869,0.25662,0.56325,0.23826,0.15817,1.22006,13.9668,1.36927,0.0005075,0.0005075,0.0005075
8,30713.6,1.21043,0.86337,1.36013,0.26109,0.59145,0.25668,0.16966,1.22264,11.8168,1.37847,0.00038375,0.00038375,0.00038375
9,33730,1.15467,0.79407,1.31953,0.29368,0.51995,0.25465,0.1744,1.16864,10.4198,1.31493,0.00026,0.00026,0.00026
10,36741.7,1.11771,0.73207,1.29281,0.31981,0.56221,0.28652,0.20177,1.12726,10.573,1.30136,0.00013625,0.00013625,0.00013625
